fac_item_number,item_ssic,facility_code,creation_date,process_status,error_message,request_id
30532834,0000032834,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305170416,0000170416,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305451692,0000451692,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305146251,0000146251,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305668139,0000668139,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305668082,0000668082,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305668111,0000668111,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305615123,0000615123,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305580040,0000580040,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305599212,0000599212,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305843151,0000843151,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305795107,0000795107,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305795108,0000795108,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305264204,0000264204,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904957110,0000957110,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90472021,0000072021,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90435878,0000035878,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904737974,0000737974,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437955,0000037955,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904604341,0000604341,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904262539,0000262539,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904575049,0000575049,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904575094,0000575094,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904615296,0000615296,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904579562,0000579562,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904615271,0000615271,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905690039,0000690039,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905185823,0000185823,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689271,0000689271,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689272,0000689272,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905317247,0000317247,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905265856,0000265856,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905783419,0000783419,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303159641,0000159641,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303333424,0000333424,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251701582,0000701582,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251633942,0000633942,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251567539,0000567539,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251578367,0000578367,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251618448,0000618448,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251809124,0000809124,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30530910,0000030910,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305167331,0000167331,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305199858,0000199858,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305338731,0000338731,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
